,filename,face,multiple_faces,no_faces,wears_mask,age,gender,race,emotion,emotion (category)
0,data/106349S_por.png,Yes,No,1,['Yes'],[24],['Man'],[None],[None],[None]
1,data/102730_eng.png,Yes,No,1,['No'],[27],['Man'],['asian'],['sad'],['Negative']
2,data/102141_2_eng.png,Yes,No,1,['Yes'],[25],['Man'],[None],[None],[None]
